street,suburb,numbers,postcode,lon,lat,accuracy,matchedaddress
"Abberfield Lane","St Albans","","8014","172.628844","-43.514068","street","Abberfield Lane, St Albans, Christchurch"
"Abberley Crescent","St Albans","","8014","172.6297","-43.512857","street","Abberley Crescent, St Albans, Christchurch"
"Abbey Place","Mairehau","","8013","172.649285","-43.496001","street","Abbey Place, Mairehau, Christchurch"
"Abbotts Place","Avonhead","","8042","172.544251","-43.522501","street","Abbotts Place, Avonhead, Christchurch"
"Aberdeen Street","Christchurch Central","","8013","172.641099","-43.523032","street","Aberdeen Street, Christchurch, Christchurch"
"Aberfoyle Place","Parklands","","8083","172.707509","-43.483234","street","Aberfoyle Place, Parklands, Christchurch"
"Abingdon Court","Avonhead","","8042","172.549805","-43.512757","street","Abingdon Court, Avonhead, Christchurch"
"Abros Place","Russley","","8053","172.569808","-43.491182","street","Abros Place, Russley, Christchurch"
"Acacia Avenue Upper","Riccarton","","8041","172.597017","-43.530505","suburb","Riccarton, Christchurch"
"Acheron Drive","Riccarton","","8041","172.588469","-43.538975","street","Acheron Drive, Riccarton, Christchurch"
"Acheson Avenue","Mairehau","","8013","172.653663","-43.501017","street","Acheson Avenue, Mairehau, Christchurch"
"Achilles Parade","Pines Beach","","7630","172.703646","-43.37432","street","Achilles Parade, Pines Beach, Waimakariri"
"Achilles Street","Burwood","","8061","172.669131","-43.509579","street","Achilles Street, Burwood, Christchurch"
"Ackland Avenue","Burnham","","7600","172.301238","-43.617023","street","Ackland Avenue, Burnham, Selwyn"
"Acland Avenue","Avonside","","8061","172.670221","-43.516706","street","Acland Avenue, Avonside, Christchurch"
"Acorn Close","Waltham","","8023","172.656635","-43.552191","street","Acorn Close, Waltham, Christchurch"
"Acton Street","Christchurch Central","","8011","172.629859","-43.537587","street","Acton Street, Christchurch Central, Christchurch"
"Adams Place","Woolston","","8023","172.672634","-43.554992","street","Adams Place, Woolston, Christchurch"
"Adderley Terrace","Kaiapoi","13-35","7630","172.643","-43.378049","street","Adderley Terrace, Kaiapoi, Waimakariri"
"Addison Place","Halswell","","8025","172.555997","-43.574093","street","Addison Place, Halswell, Christchurch"
"Admirals Way New","Brighton","","8061","170.327568","-45.948584","suburb","Brighton, Dunedin"
"Adrian Place","Shirley","","8061","172.663075","-43.497334","street","Adrian Place, Shirley, Christchurch"
"Aidanfield Drive","Halswell","","8025","172.572885","-43.565163","street","Aidanfield Drive, Halswell, Christchurch"
"Aikmans Road","Merivale","","8014","172.61725","-43.51325","street","Aikmans Road, Merivale, Christchurch"
"Aileen Place Upper","Riccarton","","8041","172.597017","-43.530505","suburb","Riccarton, Christchurch"
"Ailsa Street","Mairehau","","8013","172.652291","-43.505168","street","Ailsa Street, Mairehau, Christchurch"
"Aintree Street","Harewood","","8051","172.580941","-43.480868","street","Aintree Street, Harewood, Christchurch"
"Airedale Place","Christchurch Central","","8013","172.632636","-43.523925","street","Airedale Place, Christchurch Central, Christchurch"
"Ajax Street","Burwood","","8061","172.665285","-43.508991","street","Ajax Street, Burwood, Christchurch"
